FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME
2,14.33,14.33,4,14.63,14.63,3,14.45,14.45,1,13.87,13.87
2,10.31,24.64,4,10.29,24.92,3,10.32,24.77,1,10.47,24.34
2,10.52,35.16,4,10.48,35.40,3,10.52,35.29,1,10.70,35.04
2,10.54,45.70,4,10.50,45.90,3,10.52,45.81,1,10.46,45.50
2,10.02,55.72,4,10.08,55.98,3,10.03,55.84,1,10.06,55.56
1,9.50,1:05.22,4,9.41,1:05.39,2,9.39,1:05.23,3,9.74,1:05.30
1,9.19,1:14.41,3,9.23,1:14.62,2,9.25,1:14.48,4,9.46,1:14.76
1,9.24,1:23.65,3,9.17,1:23.79,2,9.25,1:23.73,4,9.36,1:24.12
1,9.28,1:32.927,3,9.31,1:33.096,2,9.24,1:32.963,4,9.52,1:33.633
