Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
1,12.87,12.87,4,13.20,13.20,5,13.27,13.27,3,13.07,13.07,2,12.98,12.98
1,10.77,23.64,4,10.71,23.91,5,10.80,24.07,2,10.64,23.71,3,10.78,23.76
2,10.00,33.64,4,9.91,33.82,5,9.86,33.93,1,9.81,33.52,3,9.97,33.73
2,9.72,43.36,4,9.66,43.48,3,9.52,43.45,1,9.73,43.25,5,9.87,43.60
2,9.64,53.00,4,9.73,53.21,3,9.69,53.14,1,9.67,52.92,5,9.70,53.30
2,9.58,1:02.58,4,9.62,1:02.83,3,9.55,1:02.69,1,9.55,1:02.47,5,9.61,1:02.91
5,9.88,1:12.46,3,9.45,1:12.28,2,9.50,1:12.19,1,9.51,1:11.98,4,9.38,1:12.29
5,9.92,1:22.38,4,10.10,1:22.38,3,9.78,1:21.97,1,9.66,1:21.64,2,9.45,1:21.74
4,9.78,1:32.151,5,10.44,1:32.817,3,9.99,1:31.956,1,9.70,1:31.336,2,9.62,1:31.359
