PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
1,13.75,13.75,3,13.87,13.87,4,14.05,14.05,2,13.84,13.84
1,10.35,24.10,4,10.46,24.33,3,10.20,24.25,2,10.33,24.17
1,9.94,34.04,4,10.07,34.40,2,9.88,34.13,3,10.07,34.24
1,10.04,44.08,4,9.98,44.38,3,10.13,44.26,2,9.95,44.19
1,9.95,54.03,4,9.94,54.32,3,9.96,54.22,2,9.95,54.14
1,10.00,1:04.03,4,10.00,1:04.32,3,9.99,1:04.21,2,9.99,1:04.13
1,9.65,1:13.68,4,9.75,1:14.07,3,9.85,1:14.06,2,9.66,1:13.79
1,9.47,1:23.15,3,9.76,1:23.83,4,10.61,1:24.67,2,9.47,1:23.26
1,9.50,1:32.648,3,9.96,1:33.786,4,10.96,1:35.625,2,9.64,1:32.900
