WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,IVANDIC Maja POSITION,IVANDIC Maja LAP TIME,IVANDIC Maja ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
1,13.70,13.70,2,13.80,13.80,5,14.57,14.57,3,13.94,13.94,4,14.09,14.09
1,10.50,24.20,2,10.52,24.32,5,10.27,24.84,3,10.49,24.43,4,10.45,24.54
1,10.09,34.29,2,10.07,34.39,5,10.23,35.07,3,10.06,34.49,4,10.12,34.66
1,9.97,44.26,2,9.88,44.27,5,10.54,45.61,3,9.93,44.42,4,9.86,44.52
2,9.83,54.09,1,9.75,54.02,5,10.99,56.60,3,9.79,54.21,4,9.79,54.31
4,9.94,1:04.03,1,9.76,1:03.78,5,11.57,1:08.17,2,9.67,1:03.88,3,9.71,1:04.02
4,9.82,1:13.85,1,9.72,1:13.50,5,12.21,1:20.38,2,9.73,1:13.61,3,9.74,1:13.76
4,9.92,1:23.77,1,9.70,1:23.20,5,12.77,1:33.15,2,9.69,1:23.30,3,9.81,1:23.57
4,10.12,1:33.89,1,9.77,1:32.97,5,12.70,1:45.85,2,9.70,1:33.00,3,10.19,1:33.76
