Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME
1,7.16,7.16,3,7.41,7.41,4,7.93,7.93,2,7.28,7.28
1,9.28,16.44,2,9.14,16.55,4,9.50,17.43,3,9.41,16.69
1,8.78,25.22,2,8.78,25.33,4,8.80,26.23,3,8.83,25.52
1,8.83,34.05,2,8.74,34.07,4,8.87,35.10,3,8.75,34.27
2,9.05,43.096,1,8.89,42.958,4,9.16,44.256,3,8.95,43.214
