Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
1,13.53,13.53,4,14.07,14.07,3,13.90,13.90,2,13.77,13.77
1,11.20,24.73,4,11.06,25.13,3,11.13,25.03,2,11.13,24.90
1,11.33,36.06,4,11.26,36.39,3,11.26,36.29,2,11.28,36.18
1,11.30,47.36,4,11.30,47.69,3,11.27,47.56,2,11.25,47.43
2,10.59,57.95,4,10.55,58.24,3,10.51,58.07,1,10.42,57.85
2,10.47,1:08.42,4,10.42,1:08.66,3,10.47,1:08.54,1,10.49,1:08.34
2,10.42,1:18.84,4,10.44,1:19.10,3,10.41,1:18.95,1,10.40,1:18.74
2,10.23,1:29.07,4,10.19,1:29.29,3,10.25,1:29.20,1,10.23,1:28.97
2,9.76,1:38.825,4,9.81,1:39.097,3,9.72,1:38.919,1,9.79,1:38.756
