Jing Feng XU POSITION,Jing Feng XU LAP TIME,Jing Feng XU ELAPSED TIME,Denys IOFIN POSITION,Denys IOFIN LAP TIME,Denys IOFIN ELAPSED TIME,LIAO Wei-Cheng POSITION,LIAO Wei-Cheng LAP TIME,LIAO Wei-Cheng ELAPSED TIME,KHALIL Khairil Ridhwan POSITION,KHALIL Khairil Ridhwan LAP TIME,KHALIL Khairil Ridhwan ELAPSED TIME
3,16.93,16.93,2,16.85,16.85,4,17.07,17.07,1,16.74,16.74
3,12.91,29.84,2,12.85,29.70,4,12.90,29.97,1,12.83,29.57
3,12.40,42.24,2,12.45,42.15,4,12.40,42.37,1,12.44,42.01
3,12.13,54.37,2,12.10,54.25,4,12.11,54.48,1,12.12,54.13
3,11.80,1:06.17,1,11.77,1:06.02,4,11.79,1:06.27,2,12.00,1:06.13
2,9.95,1:16.12,1,9.98,1:16.00,3,10.22,1:16.49,4,10.64,1:16.77
2,9.62,1:25.74,1,9.64,1:25.64,3,9.47,1:25.96,4,9.68,1:26.45
1,9.70,1:35.44,2,9.87,1:35.51,3,9.62,1:35.58,4,9.82,1:36.27
1,9.82,1:45.262,3,10.20,1:45.713,2,10.07,1:45.653,4,10.03,1:46.309
