Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Yoan GAUTHIER POSITION,Yoan GAUTHIER LAP TIME,Yoan GAUTHIER ELAPSED TIME,Samuel BELANGER-MARCEAU POSITION,Samuel BELANGER-MARCEAU LAP TIME,Samuel BELANGER-MARCEAU ELAPSED TIME
1,14.93,14.93,2,15.01,15.01,3,15.02,15.02,4,15.05,15.05
4,10.76,25.69,3,10.53,25.54,2,10.41,25.43,1,10.32,25.37
4,9.87,35.56,3,9.85,35.39,1,9.76,35.19,2,9.91,35.28
4,9.12,44.68,1,9.00,44.39,2,9.28,44.47,3,9.27,44.55
4,8.88,53.56,2,8.91,53.30,1,8.73,53.20,3,8.87,53.42
4,8.71,1:02.27,2,8.77,1:02.07,1,8.77,1:01.97,3,8.73,1:02.15
4,8.80,1:11.07,2,8.78,1:10.85,1,8.80,1:10.77,3,8.79,1:10.94
4,8.83,1:19.90,2,8.77,1:19.62,1,8.81,1:19.58,3,8.79,1:19.73
4,8.90,1:28.797,2,8.86,1:28.477,1,8.84,1:28.418,3,8.86,1:28.583
