Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,12.71,12.71,2,12.80,12.80,4,13.07,13.07,3,12.90,12.90
1,10.27,22.98,2,10.32,23.12,4,10.32,23.39,3,10.32,23.22
3,9.80,32.78,1,9.56,32.68,4,9.68,33.07,2,9.52,32.74
2,9.66,42.44,1,9.52,42.20,3,9.40,42.47,4,9.83,42.57
2,9.22,51.66,1,9.33,51.53,4,9.49,51.96,3,9.25,51.82
2,9.05,1:00.71,1,9.17,1:00.70,4,9.17,1:01.13,3,9.10,1:00.92
1,8.90,1:09.61,2,9.01,1:09.71,4,9.04,1:10.17,3,8.94,1:09.86
1,9.19,1:18.80,4,10.30,1:20.01,2,9.29,1:19.46,3,9.90,1:19.76
1,9.65,1:28.446,0,,PEN,2,9.82,1:29.278,3,11.25,1:31.008
