KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,PARK In Wook POSITION,PARK In Wook LAP TIME,PARK In Wook ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,DEWAGTERE Adriaan POSITION,DEWAGTERE Adriaan LAP TIME,DEWAGTERE Adriaan ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME
1,15.28,15.28,5,15.58,15.58,4,15.47,15.47,3,15.45,15.45,6,15.75,15.75,2,15.31,15.31
1,11.46,26.74,4,11.34,26.92,2,11.35,26.82,5,11.64,27.09,6,11.54,27.29,3,11.57,26.88
2,10.18,36.92,4,10.17,37.09,3,10.16,36.98,5,10.05,37.14,6,10.01,37.30,1,9.95,36.83
3,10.05,46.97,5,10.09,47.18,4,10.07,47.05,1,9.61,46.75,6,10.01,47.31,2,10.03,46.86
3,9.57,56.54,5,9.57,56.75,4,9.59,56.64,2,9.69,56.44,6,9.59,56.90,1,9.52,56.38
4,9.33,1:05.87,4,9.12,1:05.87,2,9.03,1:05.67,3,9.33,1:05.77,6,9.25,1:06.15,1,9.20,1:05.58
5,8.91,1:14.78,3,8.80,1:14.67,2,8.86,1:14.53,4,8.94,1:14.71,6,9.28,1:15.43,1,8.92,1:14.50
4,8.89,1:23.67,1,8.62,1:23.29,2,8.93,1:23.46,5,9.09,1:23.80,6,9.67,1:25.10,3,9.13,1:23.63
2,8.70,1:32.376,1,8.96,1:32.25,3,9.08,1:32.543,5,9.15,1:32.953,6,10.05,1:35.151,4,9.25,1:32.884
