Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME
3,6.86,6.86,1,6.74,6.74,4,7.17,7.17,2,6.85,6.85
3,9.32,16.18,1,9.15,15.89,4,9.33,16.50,2,9.22,16.07
3,8.19,24.37,1,8.35,24.24,4,8.62,25.12,2,8.28,24.35
2,8.76,33.13,1,8.75,32.99,4,8.98,34.10,3,8.88,33.23
2,8.68,41.806,1,8.58,41.569,4,8.93,43.027,3,8.71,41.937
