Alex BOISVERT-LACROIX POSITION,Alex BOISVERT-LACROIX LAP TIME,Alex BOISVERT-LACROIX ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,6.50,6.50,3,7.01,7.01,2,6.89,6.89,4,7.25,7.25
2,9.47,15.97,3,9.10,16.11,1,8.74,15.63,4,9.09,16.34
1,8.83,24.80,2,9.07,25.18,0,,,3,9.03,25.38
1,9.17,33.97,2,8.90,34.09,0,,,3,9.08,34.46
2,9.72,43.682,1,9.47,43.554,0,,DNF,3,9.70,44.155
