Ademir BABAIC POSITION,Ademir BABAIC LAP TIME,Ademir BABAIC ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME
2,13.30,13.30,3,13.49,13.49,4,13.62,13.62,1,13.09,13.09
2,10.29,23.59,3,10.26,23.75,4,10.25,23.87,1,10.36,23.45
2,10.28,33.87,3,10.25,34.00,4,10.20,34.07,1,10.28,33.73
2,10.30,44.17,3,10.32,44.32,4,10.44,44.51,1,10.26,43.99
2,10.05,54.22,3,9.91,54.23,4,9.85,54.36,1,9.94,53.93
3,9.99,1:04.21,2,9.50,1:03.73,4,9.94,1:04.30,1,9.52,1:03.45
4,10.27,1:14.48,2,9.49,1:13.22,3,10.05,1:14.35,1,9.50,1:12.95
4,11.48,1:25.96,2,9.67,1:22.89,3,10.46,1:24.81,1,9.56,1:22.51
4,13.31,1:39.270,2,10.09,1:32.971,3,10.61,1:35.418,1,10.03,1:32.536
