DEWAGTERE Adriaan POSITION,DEWAGTERE Adriaan LAP TIME,DEWAGTERE Adriaan ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME,YATES Westley POSITION,YATES Westley LAP TIME,YATES Westley ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,ROES Sven POSITION,ROES Sven LAP TIME,ROES Sven ELAPSED TIME
1,11.23,11.23,4,11.69,11.69,3,11.52,11.52,5,11.94,11.94,2,11.40,11.40,6,12.14,12.14,7,12.56,12.56
1,17.54,28.77,4,17.54,29.23,3,17.56,29.08,5,17.58,29.52,2,17.56,28.96,6,17.55,29.69,7,17.37,29.93
1,16.93,45.70,3,16.65,45.88,4,16.91,45.99,5,17.02,46.54,2,16.89,45.85,6,17.06,46.75,7,17.04,46.97
1,16.13,1:01.83,2,16.08,1:01.96,4,16.22,1:02.21,5,16.04,1:02.58,3,16.25,1:02.10,6,15.91,1:02.66,7,15.91,1:02.88
1,15.75,1:17.58,2,15.78,1:17.74,4,15.81,1:18.02,5,15.77,1:18.35,3,15.77,1:17.87,6,15.89,1:18.55,7,15.84,1:18.72
1,15.34,1:32.92,2,15.29,1:33.03,3,15.10,1:33.12,5,15.26,1:33.61,4,15.43,1:33.30,6,15.22,1:33.77,7,15.29,1:34.01
2,12.73,1:45.65,1,12.45,1:45.48,4,12.84,1:45.96,5,12.57,1:46.18,3,12.49,1:45.79,6,12.58,1:46.35,7,12.52,1:46.53
3,10.25,1:55.90,2,10.33,1:55.81,5,10.09,1:56.05,4,9.86,1:56.04,1,10.01,1:55.80,6,9.83,1:56.18,7,9.81,1:56.34
3,9.93,2:05.83,2,9.93,2:05.74,5,9.97,2:06.02,4,9.90,2:05.94,1,9.85,2:05.65,6,9.96,2:06.14,7,9.96,2:06.30
1,9.54,2:15.37,3,9.71,2:15.45,4,9.58,2:15.60,2,9.49,2:15.43,7,23.67,2:29.32,5,9.63,2:15.77,6,9.59,2:15.89
1,8.84,2:24.21,3,9.16,2:24.61,4,9.06,2:24.66,2,8.93,2:24.36,7,18.67,2:47.99,6,9.09,2:24.86,5,8.96,2:24.85
2,8.91,2:33.12,5,9.43,2:34.04,4,8.93,2:33.59,1,8.72,2:33.08,7,10.92,2:58.91,6,9.22,2:34.08,3,8.57,2:33.42
3,9.12,2:42.24,6,9.54,2:43.58,4,9.01,2:42.60,1,8.88,2:41.96,7,10.07,3:08.98,5,9.48,2:43.56,2,8.79,2:42.21
3,9.37,2:51.61,5,9.67,2:53.255,4,9.19,2:51.797,0,8.95,2:50.91,7,10.14,3:19.125,6,9.80,2:53.360,0,8.69,2:50.90
