Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Gisle TVERLAND POSITION,Gisle TVERLAND LAP TIME,Gisle TVERLAND ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,CHO Nam-Kyu POSITION,CHO Nam-Kyu LAP TIME,CHO Nam-Kyu ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME
1,7.851,7.851,4,8.109,8.109,5,8.288,8.288,2,8.019,8.019,3,8.098,8.098,6,8.353,8.353
1,11.222,19.072,3,11.252,19.360,4,11.085,19.372,5,11.383,19.402,2,11.012,19.110,6,11.309,19.662
5,10.704,29.776,2,10.325,29.685,3,10.375,29.747,4,10.347,29.748,1,10.409,29.518,6,10.556,30.217
4,10.823,40.599,3,10.823,40.507,2,10.718,40.464,5,10.983,40.730,1,10.712,40.230,6,10.917,41.134
4,10.996,51.595,3,11.053,51.559,1,10.982,51.445,5,11.051,51.780,2,11.269,51.499,6,10.808,51.941
4,10.882,1:02.476,3,10.827,1:02.386,5,11.165,1:02.610,2,10.536,1:02.316,1,10.764,1:02.262,6,11.096,1:03.037
4,9.968,1:12.444,5,10.135,1:12.521,3,9.811,1:12.420,1,9.881,1:12.197,2,10.125,1:12.387,6,9.989,1:13.025
1,9.548,1:21.992,4,9.863,1:22.383,3,9.942,1:22.362,5,10.254,1:22.451,2,9.811,1:22.197,6,10.036,1:23.060
2,10.004,1:31.995,5,9.817,1:32.200,3,9.686,1:32.047,4,9.709,1:32.159,1,9.668,1:31.865,6,9.612,1:32.672
2,9.644,1:41.639,5,9.786,1:41.985,3,9.777,1:41.824,4,9.722,1:41.881,1,9.602,1:41.467,6,9.910,1:42.581
2,9.637,1:51.275,5,9.856,1:51.841,3,9.517,1:51.340,4,9.480,1:51.360,1,9.656,1:51.122,6,10.915,1:53.496
2,9.620,2:00.894,5,10.438,2:02.278,4,9.800,2:01.139,3,9.570,2:00.929,1,9.749,2:00.871,6,12.586,2:06.081
2,9.806,2:10.699,5,11.128,2:13.405,3,9.663,2:10.802,4,9.883,2:10.812,1,9.613,2:10.483,6,15.761,2:21.842
2,10.07,2:20.760,5,11.89,2:25.294,4,10.38,2:21.178,3,10.02,2:20.829,1,10.16,2:20.634,6,14.65,2:36.487
