Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME
4,13.56,13.56,3,13.45,13.45,1,13.17,13.17,2,13.24,13.24
4,10.46,24.02,3,10.46,23.91,1,10.50,23.67,2,10.52,23.76
4,10.29,34.31,3,10.27,34.18,1,10.27,33.94,2,10.27,34.03
4,9.98,44.29,3,9.99,44.17,1,10.01,43.95,2,10.00,44.03
4,9.58,53.87,3,9.56,53.73,1,9.60,53.55,2,9.60,53.63
4,9.51,1:03.38,3,9.46,1:03.19,1,9.54,1:03.09,2,9.53,1:03.16
4,9.56,1:12.94,1,9.14,1:12.33,3,9.69,1:12.78,2,9.62,1:12.78
2,9.25,1:22.19,1,9.05,1:21.38,3,9.95,1:22.73,4,10.20,1:22.98
2,8.90,1:31.090,1,9.36,1:30.733,3,10.20,1:32.930,4,10.35,1:33.327
