Bulat VALIULLIN POSITION,Bulat VALIULLIN LAP TIME,Bulat VALIULLIN ELAPSED TIME,OH Se-Jong POSITION,OH Se-Jong LAP TIME,OH Se-Jong ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Alex IZYKOWSKI POSITION,Alex IZYKOWSKI LAP TIME,Alex IZYKOWSKI ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME
4,13.279,13.279,2,13.121,13.121,5,13.541,13.541,3,13.219,13.219,1,13.089,13.089
5,10.187,23.466,1,9.945,23.065,3,9.830,23.371,4,10.225,23.444,2,10.051,23.140
4,9.485,32.950,1,9.283,32.348,2,9.247,32.618,5,9.821,33.265,3,9.551,32.690
2,8.718,41.668,1,9.139,41.487,5,9.200,41.817,4,8.496,41.761,3,9.027,41.717
5,9.344,51.012,1,9.107,50.593,3,9.035,50.852,2,9.043,50.804,4,9.267,50.984
5,9.389,1:00.400,1,9.083,59.676,4,9.344,1:00.195,2,9.124,59.927,3,9.176,1:00.159
5,9.053,1:09.452,1,9.003,1:08.679,2,9.022,1:09.217,3,9.430,1:09.357,4,9.244,1:09.403
5,9.857,1:19.309,1,9.599,1:18.277,3,9.585,1:18.802,4,9.482,1:18.838,2,9.215,1:18.617
4,10.69,1:29.999,1,9.42,1:27.691,5,19.86,1:38.657,3,9.22,1:28.052,2,9.19,1:27.799
