Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Jeff SCHOLTEN POSITION,Jeff SCHOLTEN LAP TIME,Jeff SCHOLTEN ELAPSED TIME
1,7.059,7.059,3,7.215,7.215,4,7.404,7.404,5,7.518,7.518,2,7.135,7.135
1,9.441,16.499,3,9.458,16.673,4,9.465,16.869,5,9.439,16.957,2,9.446,16.581
2,9.148,25.646,3,9.053,25.726,5,9.040,25.909,4,8.947,25.903,1,8.881,25.461
2,9.192,34.838,3,9.138,34.863,4,9.190,35.098,5,9.413,35.316,1,9.030,34.491
2,9.51,44.340,3,9.58,44.436,4,9.47,44.565,5,9.70,45.007,1,9.31,43.800
