WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
2,13.89,13.89,3,14.01,14.01,5,14.19,14.19,4,14.09,14.09,1,13.88,13.88
3,10.29,24.18,4,10.25,24.26,5,10.21,24.40,2,10.04,24.13,1,10.18,24.06
4,9.94,34.12,5,10.00,34.26,2,9.61,34.01,3,9.89,34.02,1,9.92,33.98
3,9.67,43.79,5,9.72,43.98,2,9.67,43.68,4,9.87,43.89,1,9.58,43.56
3,9.73,53.52,5,9.77,53.75,2,9.73,53.41,4,9.74,53.63,1,9.75,53.31
3,9.62,1:03.14,5,9.74,1:03.49,2,9.65,1:03.06,4,9.62,1:03.25,1,9.71,1:03.02
2,9.04,1:12.18,5,9.44,1:12.93,1,8.96,1:12.02,3,9.24,1:12.49,4,9.57,1:12.59
2,8.82,1:21.00,5,9.60,1:22.53,1,8.93,1:20.95,3,9.23,1:21.72,4,9.19,1:21.78
2,9.13,1:30.13,5,10.00,1:32.53,1,9.03,1:29.98,0,9.03,1:30.75,0,8.98,1:30.76
