Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
1,6.90,6.90,2,7.08,7.08,3,7.28,7.28,4,7.43,
1,8.91,15.81,2,8.88,15.96,3,8.91,16.19,4,9.00,
1,8.68,24.49,2,8.62,24.58,3,8.50,24.69,4,8.48,
2,8.85,33.34,1,8.70,33.28,3,8.78,33.47,4,8.59,
2,9.21,42.533,1,8.90,42.171,3,9.48,42.930,3,9.27,
