Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
3,13.210,13.210,4,13.270,13.270,2,13.140,13.140,1,13.030,13.030
2,9.810,23.020,4,9.980,23.250,3,10.050,23.190,1,9.980,23.010
1,9.410,32.440,2,9.370,32.630,3,9.540,32.740,4,9.740,32.760
1,9.590,42.040,2,9.530,42.160,4,9.530,42.270,3,9.450,42.210
1,9.450,51.490,2,9.350,51.510,4,9.430,51.710,3,9.370,51.590
1,9.690,1:01.190,2,9.810,1:01.320,4,9.830,1:01.550,3,9.760,1:01.350
1,9.880,1:11.070,2,9.890,1:11.210,4,9.830,1:11.380,3,9.930,1:11.290
2,9.680,1:20.750,1,9.520,1:20.740,4,9.580,1:20.970,3,9.600,1:20.900
4,10.070,1:30.820,1,9.520,1:30.270,3,9.430,1:30.400,2,9.430,1:30.330
