Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
1,12.57,,2,12.67,12.67,3,12.79,12.79,4,12.87,12.87,5,13.01,13.01
1,9.89,,2,9.87,22.54,3,9.83,22.62,4,9.87,22.74,5,9.82,22.83
1,9.54,,2,9.55,32.09,3,9.55,32.17,4,9.55,32.29,5,9.55,32.38
1,9.45,,2,9.43,41.52,3,9.45,41.62,4,9.49,41.78,5,9.50,41.88
1,9.35,,2,9.34,50.86,3,9.34,50.96,4,9.28,51.06,5,9.27,51.15
1,9.34,,2,9.35,1:00.21,3,9.38,1:00.34,4,9.33,1:00.39,5,9.36,1:00.51
5,22.40,,1,9.37,1:09.58,2,9.30,1:09.64,3,9.28,1:09.67,4,9.28,1:09.79
5,22.40,,4,10.10,1:19.68,2,9.82,1:19.46,1,9.44,1:19.11,3,9.79,1:19.58
5,15.65,,4,10.48,1:30.16,3,9.93,1:29.394,1,9.72,1:28.83,0,9.79,1:29.37
