Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Boren ZUNAC POSITION,Boren ZUNAC LAP TIME,Boren ZUNAC ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
2,9.16,9.16,4,9.31,9.31,5,9.39,9.39,6,9.46,9.46,3,9.25,9.25,1,9.14,9.14
3,12.28,21.44,4,12.25,21.56,5,12.31,21.70,6,12.33,21.79,2,12.08,21.33,1,12.04,21.18
3,11.35,32.79,4,11.33,32.89,5,11.34,33.04,6,11.38,33.17,2,11.36,32.69,1,11.36,32.54
3,10.82,43.61,4,10.85,43.74,5,10.79,43.83,6,10.77,43.94,2,10.81,43.50,1,10.79,43.33
3,10.29,53.90,4,10.27,54.01,5,10.25,54.08,6,10.23,54.17,2,10.31,53.81,1,10.38,53.71
3,10.38,1:04.28,4,10.41,1:04.42,5,10.42,1:04.50,6,10.43,1:04.60,2,10.38,1:04.19,1,10.33,1:04.04
3,10.25,1:14.53,4,10.21,1:14.63,5,10.22,1:14.72,6,10.25,1:14.85,2,10.24,1:14.43,1,10.31,1:14.35
3,10.14,1:24.67,6,10.39,1:25.02,4,10.09,1:24.81,5,10.09,1:24.94,2,10.16,1:24.59,1,10.17,1:24.52
3,9.91,1:34.58,6,10.17,1:35.19,4,9.86,1:34.67,5,9.83,1:34.77,2,9.87,1:34.46,1,9.93,1:34.45
3,9.86,1:44.44,6,10.38,1:45.57,4,9.86,1:44.53,5,9.83,1:44.60,2,9.87,1:44.33,1,9.79,1:44.24
1,9.66,1:54.10,6,10.67,1:56.24,5,9.71,1:54.24,2,9.57,1:54.17,3,9.84,1:54.17,4,9.95,1:54.19
2,9.13,2:03.23,6,11.18,2:07.42,3,9.20,2:03.44,1,8.98,2:03.15,4,9.84,2:04.01,5,10.36,2:04.55
1,9.24,2:12.47,5,11.84,2:19.26,2,9.13,2:12.57,6,26.33,2:29.48,3,10.22,2:14.23,4,10.89,2:15.44
2,9.86,2:22.326,5,12.36,2:31.614,1,9.55,2:22.118,6,30.10,2:59.574,3,10.74,2:24.962,4,11.35,2:26.781
