Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
4,8.75,8.75,3,8.56,8.56,2,8.33,8.33,5,8.88,8.88,7,9.16,9.16,1,8.32,8.32,6,9.01,9.01
4,12.40,21.15,2,12.39,20.95,3,12.69,21.02,5,12.40,21.28,7,12.42,21.58,1,12.59,20.91,6,12.42,21.43
4,11.16,32.31,3,11.15,32.10,1,10.75,31.77,5,11.18,32.46,7,11.21,32.79,2,10.99,31.90,6,11.19,32.62
4,10.70,43.01,3,10.80,42.90,1,10.86,42.63,5,10.65,43.11,7,10.57,43.36,2,10.88,42.78,6,10.61,43.23
3,10.28,53.29,4,10.49,53.39,2,10.60,53.23,5,10.42,53.53,7,10.42,53.78,1,10.43,53.21,6,10.43,53.66
1,9.77,1:03.06,3,9.84,1:03.23,2,9.90,1:03.13,4,9.81,1:03.34,6,9.78,1:03.56,7,10.44,1:03.65,5,9.81,1:03.47
2,9.83,1:12.89,3,9.75,1:12.98,1,9.65,1:12.78,4,9.72,1:13.06,6,9.72,1:13.28,7,9.81,1:13.46,5,9.71,1:13.18
2,9.85,1:22.74,3,9.91,1:22.89,1,9.92,1:22.70,4,9.96,1:23.02,6,9.96,1:23.24,7,9.89,1:23.35,5,9.96,1:23.14
1,9.35,1:32.09,3,9.36,1:32.25,2,9.46,1:32.16,4,9.30,1:32.32,6,9.36,1:32.60,7,9.44,1:32.79,5,9.34,1:32.48
1,9.48,1:41.57,3,9.45,1:41.70,2,9.46,1:41.62,4,9.51,1:41.83,6,9.44,1:42.04,7,9.38,1:42.17,5,9.43,1:41.91
2,9.37,1:50.94,4,9.38,1:51.08,1,9.23,1:50.85,3,9.21,1:51.04,6,9.25,1:51.29,7,9.29,1:51.46,5,9.24,1:51.15
1,9.63,2:00.57,6,9.81,2:00.89,2,9.72,2:00.57,3,9.62,2:00.66,5,9.52,2:00.81,7,9.45,2:00.91,4,9.66,2:00.81
1,9.25,2:09.82,4,9.65,2:10.54,7,10.20,2:10.77,2,9.35,2:10.01,6,9.90,2:10.71,5,9.63,2:10.54,3,9.43,2:10.24
2,9.38,2:19.200,3,9.11,2:19.642,0,,PEN,1,9.18,2:19.182,6,10.10,2:20.809,5,9.77,2:20.304,4,9.74,2:19.979
