AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Yaroslav KARPOUKHIN POSITION,Yaroslav KARPOUKHIN LAP TIME,Yaroslav KARPOUKHIN ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME
2,9.099,9.099,1,8.830,8.830,4,9.559,9.559,5,9.726,9.726,3,9.288,9.288
2,14.508,23.606,1,14.249,23.079,3,14.345,23.903,5,14.759,24.484,4,14.651,23.939
5,14.930,38.536,1,14.926,38.005,3,14.566,38.469,4,13.996,38.480,2,14.375,38.314
5,12.050,50.585,1,12.138,50.142,3,11.850,50.319,2,11.666,50.145,4,12.141,50.454
5,12.331,1:02.916,1,12.225,1:02.367,4,12.548,1:02.866,2,12.425,1:02.570,3,12.165,1:02.619
4,10.812,1:13.727,1,11.023,1:13.390,5,10.895,1:13.761,2,11.061,1:13.631,3,11.020,1:13.638
1,10.135,1:23.862,4,11.048,1:24.437,5,10.954,1:24.714,3,10.662,1:24.292,2,10.497,1:24.135
1,9.961,1:33.823,2,9.496,1:33.933,4,9.616,1:34.329,5,10.394,1:34.685,3,10.022,1:34.156
1,9.935,1:43.757,2,10.130,1:44.063,5,10.158,1:44.487,4,9.676,1:44.361,3,9.934,1:44.089
1,9.735,1:53.491,2,9.622,1:53.685,4,9.611,1:54.098,5,9.819,1:54.179,3,9.746,1:53.835
1,9.937,2:03.428,2,9.961,2:03.645,4,9.909,2:04.007,5,9.850,2:04.029,3,10.020,2:03.855
1,9.739,2:13.166,2,9.542,2:13.187,4,9.765,2:13.772,3,9.633,2:13.661,5,9.944,2:13.798
1,9.886,2:23.052,2,9.928,2:23.114,3,9.748,2:23.519,4,10.142,2:23.802,5,10.034,2:23.832
1,10.47,2:33.521,2,10.68,2:33.787,5,11.62,2:35.139,3,10.50,2:34.297,4,10.71,2:34.540
