SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
5,9.49,9.49,4,9.49,9.49,2,9.05,9.05,1,8.84,8.84,3,9.25,9.25
5,12.35,21.84,4,12.20,21.69,2,12.36,21.41,1,12.42,21.26,3,12.32,21.57
5,12.76,34.60,3,12.74,34.43,1,12.91,34.32,2,13.09,34.35,4,12.94,34.51
5,13.11,47.71,4,13.05,47.48,2,12.90,47.22,3,12.96,47.31,1,12.60,47.11
5,12.20,59.91,4,12.27,59.75,2,12.29,59.51,3,12.30,59.61,1,12.29,59.40
5,12.38,1:12.29,4,12.34,1:12.09,2,12.31,1:11.82,3,12.26,1:11.87,1,12.30,1:11.70
5,10.95,1:23.24,4,11.05,1:23.14,3,11.20,1:23.02,2,11.01,1:22.88,1,11.07,1:22.77
5,10.45,1:33.69,4,10.41,1:33.55,2,10.28,1:33.30,3,10.50,1:33.38,1,10.50,1:33.27
5,9.68,1:43.37,4,9.73,1:43.28,1,9.70,1:43.00,3,9.76,1:43.14,2,9.74,1:43.01
5,9.27,1:52.64,4,9.19,1:52.47,2,9.23,1:52.23,3,9.21,1:52.35,1,9.07,1:52.08
4,8.72,2:01.36,5,8.90,2:01.37,2,8.98,2:01.21,3,9.00,2:01.35,1,8.97,2:01.05
3,8.78,2:10.14,4,9.41,2:10.78,2,8.86,2:10.07,5,9.47,2:10.82,1,8.92,2:09.97
2,8.92,2:19.06,5,30.52,2:41.30,3,9.13,2:19.20,4,9.78,2:20.60,1,9.02,2:18.99
2,9.30,2:28.355,0,,DQ,3,9.43,2:28.622,0,,DQ,1,9.31,2:28.294
