Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
3,8.68,8.68,2,8.50,8.50,4,8.87,8.87,1,8.41,8.41,5,9.01,9.01
3,11.38,20.06,1,11.08,19.58,4,11.34,20.21,2,11.55,19.96,5,11.32,20.33
3,9.94,30.00,1,10.16,29.74,4,9.97,30.18,2,9.91,29.87,5,9.96,30.29
3,10.12,40.12,1,10.16,39.90,4,10.08,40.26,2,10.14,40.01,5,10.08,40.37
3,10.49,50.61,1,10.46,50.36,4,10.46,50.72,2,10.52,50.53,5,10.44,50.81
3,9.88,1:00.49,1,9.97,1:00.33,4,9.89,1:00.61,2,9.89,1:00.42,5,9.89,1:00.70
4,10.25,1:10.74,1,10.25,1:10.58,3,9.98,1:10.59,2,10.17,1:10.59,5,10.14,1:10.84
3,9.49,1:20.23,5,9.92,1:20.50,1,9.44,1:20.03,2,9.55,1:20.14,4,9.48,1:20.32
3,9.71,1:29.94,5,9.78,1:30.28,1,9.76,1:29.79,2,9.72,1:29.86,4,9.69,1:30.01
1,9.51,1:39.45,4,9.92,1:40.20,5,10.52,1:40.31,2,9.87,1:39.73,3,9.77,1:39.78
1,9.78,1:49.23,4,9.97,1:50.17,5,9.88,1:50.19,3,9.75,1:49.48,2,9.53,1:49.31
1,9.83,1:59.06,5,10.59,2:00.76,4,9.88,2:00.07,3,10.13,1:59.61,2,9.84,1:59.15
1,9.42,2:08.48,5,10.55,2:11.31,4,9.61,2:09.68,3,10.03,2:09.64,2,9.45,2:08.60
1,9.67,2:18.145,5,11.04,2:22.341,3,10.09,2:19.761,4,10.31,2:19.944,2,9.70,2:18.292
