HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,ZHANG Hongchao POSITION,ZHANG Hongchao LAP TIME,ZHANG Hongchao ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,LIM Kyoung Won POSITION,LIM Kyoung Won LAP TIME,LIM Kyoung Won ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME
3,12.75,,2,12.69,12.69,5,12.99,12.99,1,12.59,12.59,6,13.12,13.12,4,12.77,12.77
1,9.34,,3,9.60,22.29,4,9.39,22.38,2,9.62,22.21,6,9.44,22.56,4,9.61,22.38
3,9.07,,4,9.01,31.30,1,8.69,31.07,2,8.91,31.12,6,8.96,31.52,5,9.03,31.41
4,9.09,,3,8.88,40.18,2,8.93,40.00,1,8.83,39.95,6,8.75,40.27,5,8.85,40.26
6,9.14,,3,9.04,49.22,2,9.14,49.14,1,9.09,49.04,5,9.03,49.30,4,9.01,49.27
5,9.14,,3,9.15,58.37,2,9.16,58.30,1,9.15,58.19,6,9.35,58.65,4,9.19,58.46
4,9.09,,3,9.18,1:07.55,2,9.16,1:07.46,1,9.18,1:07.37,6,9.12,1:07.77,5,9.24,1:07.70
5,9.94,,6,10.19,1:17.74,2,9.13,1:16.59,1,9.12,1:16.49,3,9.11,1:16.88,4,9.30,1:17.00
6,12.42,,5,10.54,1:28.254,2,9.15,1:25.729,1,9.18,1:25.649,3,8.97,1:25.834,4,9.41,1:26.390
