Nikolay STANCHEV POSITION,Nikolay STANCHEV LAP TIME,Nikolay STANCHEV ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Mikhail RAJINE POSITION,Mikhail RAJINE LAP TIME,Mikhail RAJINE ELAPSED TIME
4,7.335,7.335,1,7.021,7.021,5,7.408,7.408,3,7.178,7.178,2,7.153,7.153
4,9.849,17.183,1,9.112,16.133,5,9.902,17.310,3,9.565,16.743,2,9.446,16.599
5,9.583,26.765,1,9.088,25.220,4,9.286,26.595,2,9.044,25.786,3,9.471,26.070
5,9.718,36.483,1,9.728,34.947,4,9.602,36.197,2,9.475,35.261,3,9.464,35.534
5,10.32,46.800,1,9.83,44.770,3,9.90,46.091,2,9.53,44.786,4,10.58,46.113
