Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,Yoann MARTINEZ POSITION,Yoann MARTINEZ LAP TIME,Yoann MARTINEZ ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
2,13.41,13.41,1,13.21,13.21,4,13.61,13.61,3,13.50,13.50,5,13.78,13.78
4,10.29,23.70,3,10.34,23.55,2,9.93,23.54,1,9.97,23.47,5,10.11,23.89
4,9.57,33.27,2,9.53,33.08,1,9.51,33.05,3,9.65,33.12,5,9.47,33.36
4,9.68,42.95,1,9.59,42.67,2,9.71,42.76,3,9.65,42.77,5,9.70,43.06
3,9.53,52.48,1,9.62,52.29,4,9.78,52.54,2,9.61,52.38,5,9.64,52.70
3,9.59,1:02.07,1,9.56,1:01.85,4,9.63,1:02.17,2,9.57,1:01.95,5,9.64,1:02.34
3,9.35,1:11.42,1,9.39,1:11.24,4,9.38,1:11.55,2,9.38,1:11.33,5,9.37,1:11.71
1,9.10,1:20.52,2,9.40,1:20.64,4,9.25,1:20.80,3,9.40,1:20.73,5,9.47,1:21.18
1,9.22,1:29.74,2,9.27,1:29.91,4,9.36,1:30.168,3,9.27,1:30.00,5,10.06,1:31.241
