Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Natalia PLUGINA POSITION,Natalia PLUGINA LAP TIME,Natalia PLUGINA ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME
1,7.43,7.43,3,8.23,8.23,2,8.09,8.09,4,8.37,8.37
1,10.05,17.48,4,10.05,18.28,2,9.84,17.93,3,9.69,18.06
1,9.55,27.03,4,9.38,27.66,3,9.69,27.62,2,9.34,27.40
1,9.67,36.70,3,9.60,37.26,4,9.65,37.27,2,9.50,36.90
2,9.98,46.671,3,9.77,47.021,4,10.08,47.344,1,9.60,46.497
