START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,8.41,8.41,1,8.25,8.25,4,8.53,8.53,5,8.66,8.66,2,8.29,8.29,6,8.79,8.79,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
3,12.02,20.43,2,12.05,20.30,4,12.02,20.55,5,12.02,20.68,1,11.91,20.20,6,12.04,20.83,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
4,11.40,31.83,1,11.21,31.51,5,11.40,31.95,2,10.84,31.52,3,11.51,31.71,6,11.28,32.11,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
4,10.72,42.55,1,10.67,42.18,5,10.69,42.64,2,10.76,42.28,3,10.70,42.41,6,10.68,42.79,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
4,11.03,53.58,1,11.07,53.25,5,11.05,53.69,2,11.10,53.38,3,11.07,53.48,6,10.99,53.78,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
4,11.02,1:04.60,1,11.08,1:04.33,5,11.01,1:04.70,2,11.00,1:04.38,3,11.03,1:04.51,6,11.07,1:04.85,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
4,10.91,1:15.51,1,10.84,1:15.17,5,10.90,1:15.60,2,10.90,1:15.28,3,10.87,1:15.38,6,10.88,1:15.73,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
3,9.97,1:25.48,2,10.28,1:25.45,5,10.12,1:25.72,1,10.12,1:25.40,4,10.24,1:25.62,6,10.24,1:25.97,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
3,9.34,1:34.82,1,9.27,1:34.72,5,9.33,1:35.05,2,9.41,1:34.81,4,9.35,1:34.97,6,9.22,1:35.19,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
4,9.92,1:44.74,1,9.45,1:44.17,3,9.37,1:44.42,6,10.49,1:45.30,2,9.33,1:44.30,5,9.66,1:44.85,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
4,9.78,1:54.52,1,9.43,1:53.60,3,9.40,1:53.82,6,9.77,1:55.07,2,9.41,1:53.71,5,9.89,1:54.74,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
4,10.05,2:04.57,1,9.48,2:03.08,3,9.46,2:03.28,5,9.54,2:04.61,2,9.47,2:03.18,6,10.25,2:04.99,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
5,10.51,2:15.08,1,9.53,2:12.61,3,9.61,2:12.89,4,9.60,2:14.21,2,9.60,2:12.78,6,10.30,2:15.29,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
0,,DQ,1,9.76,2:22.370,3,9.86,2:22.743,4,10.11,2:24.313,2,9.87,2:22.644,5,10.23,2:25.511,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Heats,5
