LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME
2,7.05,7.05,1,6.81,6.81,4,7.32,7.32,3,7.12,7.12,5,7.36,7.36,6,7.48,7.48
2,8.97,16.02,1,8.75,15.56,3,8.82,16.14,5,9.36,16.48,4,9.02,16.38,6,9.37,16.85
2,8.43,24.45,1,8.45,24.01,3,8.42,24.56,6,9.44,25.92,4,8.62,25.00,5,9.04,25.89
2,8.50,32.95,1,8.62,32.63,3,8.40,32.96,6,9.54,35.46,4,8.58,33.58,5,9.44,35.33
3,8.73,41.68,1,8.77,41.40,2,8.58,41.54,5,9.20,44.665,4,8.95,42.532,6,9.49,44.820
