Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME
3,10.23,10.23,2,9.94,9.94,6,10.63,10.63,4,10.39,10.39,5,10.50,10.50,1,9.76,9.76
3,13.51,23.74,2,13.60,23.54,6,13.50,24.13,4,13.45,23.84,5,13.46,23.96,1,13.63,23.39
3,12.66,36.40,2,12.67,36.21,6,12.82,36.95,4,12.70,36.54,5,12.69,36.65,1,12.68,36.07
3,12.37,48.77,2,12.35,48.56,6,12.30,49.25,4,12.38,48.92,5,12.41,49.06,1,12.33,48.40
3,11.82,1:00.59,2,11.83,1:00.39,6,11.66,1:00.91,4,11.78,1:00.70,5,11.72,1:00.78,1,11.90,1:00.30
3,11.02,1:11.61,2,11.00,1:11.39,6,11.24,1:12.15,4,11.07,1:11.77,5,11.13,1:11.91,1,10.92,1:11.22
3,9.96,1:21.57,2,10.06,1:21.45,6,9.73,1:21.88,4,9.90,1:21.67,5,9.84,1:21.75,1,10.10,1:21.32
3,9.60,1:31.17,2,9.57,1:31.02,6,9.63,1:31.51,4,9.60,1:31.27,5,9.62,1:31.37,1,9.61,1:30.93
3,9.25,1:40.42,2,9.28,1:40.30,6,9.17,1:40.68,4,9.24,1:40.51,5,9.22,1:40.59,1,9.29,1:40.22
2,9.26,1:49.68,1,9.25,1:49.55,6,9.38,1:50.06,4,9.34,1:49.85,5,9.35,1:49.94,3,9.52,1:49.74
1,9.37,1:59.05,3,9.66,1:59.21,5,9.31,1:59.37,2,9.31,1:59.16,4,9.36,1:59.30,6,9.88,1:59.62
2,9.34,2:08.39,4,9.50,2:08.71,5,9.37,2:08.74,1,9.22,2:08.38,3,9.23,2:08.53,6,10.00,2:09.62
2,9.01,2:17.40,5,9.43,2:18.14,4,9.14,2:17.88,1,8.91,2:17.29,3,9.03,2:17.56,6,10.55,2:20.17
1,8.72,2:26.12,5,9.78,2:27.92,4,9.09,2:26.97,2,8.93,2:26.22,3,8.76,2:26.32,6,11.25,2:31.42
