EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,ZHANBUSINOVA Madina POSITION,ZHANBUSINOVA Madina LAP TIME,ZHANBUSINOVA Madina ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME
5,11.94,11.94,1,11.53,11.53,4,11.88,11.88,3,11.70,11.70,2,11.55,11.55,6,12.22,12.22
5,14.09,26.03,2,13.98,25.51,4,13.95,25.83,3,13.91,25.61,1,13.81,25.36,6,14.06,26.28
2,12.80,38.83,4,13.47,38.98,1,12.89,38.72,5,13.50,39.11,2,13.47,38.83,6,12.97,39.25
2,12.53,51.36,3,12.43,51.41,1,12.50,51.22,5,12.48,51.59,4,12.60,51.43,6,12.57,51.82
2,12.50,1:03.86,3,12.52,1:03.93,1,12.48,1:03.70,5,12.46,1:04.05,4,12.52,1:03.95,6,12.46,1:04.28
2,11.25,1:15.11,1,11.08,1:15.01,4,11.50,1:15.20,5,11.27,1:15.32,3,11.23,1:15.18,6,11.26,1:15.54
1,10.74,1:25.85,3,10.95,1:25.96,2,10.67,1:25.87,5,10.83,1:26.15,4,10.88,1:26.06,6,10.71,1:26.25
1,9.96,1:35.81,5,10.04,1:36.00,3,10.03,1:35.90,6,10.03,1:36.18,4,9.93,1:35.99,2,9.63,1:35.88
1,9.39,1:45.20,5,9.76,1:45.76,3,9.59,1:45.49,6,9.74,1:45.92,4,9.62,1:45.61,2,9.49,1:45.37
1,9.40,1:54.60,5,9.36,1:55.12,3,9.38,1:54.87,6,9.71,1:55.63,4,9.39,1:55.00,2,9.42,1:54.79
1,9.44,2:04.04,5,9.45,2:04.57,3,9.42,2:04.29,6,10.20,2:05.83,4,9.40,2:04.40,2,9.36,2:04.15
1,9.33,2:13.37,5,9.74,2:14.31,3,9.31,2:13.60,6,10.86,2:16.69,4,9.52,2:13.92,2,9.34,2:13.49
1,9.42,2:22.79,5,10.36,2:24.67,3,9.46,2:23.06,6,11.37,2:28.06,4,9.81,2:23.73,2,9.44,2:22.93
1,9.52,2:32.31,5,11.03,2:35.70,3,9.55,2:32.61,6,11.65,2:39.71,4,10.38,2:34.11,2,9.58,2:32.51
