Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME
3,8.96,8.96,6,9.18,9.18,4,9.05,9.05,1,8.84,8.84,5,9.08,9.08,2,8.90,8.90
4,11.57,20.53,5,11.52,20.70,6,11.78,20.83,3,11.56,20.40,1,10.86,19.94,2,11.30,20.20
4,10.42,30.95,5,10.40,31.10,6,10.34,31.17,3,10.42,30.82,1,10.68,30.62,2,10.53,30.73
4,10.14,41.09,5,10.12,41.22,6,10.14,41.31,3,10.17,40.99,1,10.15,40.77,2,10.14,40.87
4,9.81,50.90,5,9.83,51.05,6,9.89,51.20,3,9.77,50.76,1,9.83,50.60,2,9.82,50.69
4,9.79,1:00.69,5,9.74,1:00.79,6,9.74,1:00.94,3,9.83,1:00.59,1,9.78,1:00.38,2,9.80,1:00.49
4,9.97,1:10.66,5,9.95,1:10.74,6,9.90,1:10.84,3,9.94,1:10.53,1,9.95,1:10.33,2,9.93,1:10.42
4,9.77,1:20.43,5,9.82,1:20.56,6,9.95,1:20.79,3,9.80,1:20.33,1,9.82,1:20.15,2,9.82,1:20.24
4,9.45,1:29.88,5,9.42,1:29.98,6,9.68,1:30.47,3,9.49,1:29.82,1,9.48,1:29.63,2,9.48,1:29.72
5,9.89,1:39.77,4,9.78,1:39.76,6,10.29,1:40.76,3,9.73,1:39.55,2,9.90,1:39.53,1,9.74,1:39.46
5,9.92,1:49.69,3,9.49,1:49.25,6,10.66,1:51.42,2,9.59,1:49.14,4,9.99,1:49.52,1,9.59,1:49.05
5,10.19,1:59.88,3,9.57,1:58.82,6,10.95,2:02.37,1,9.41,1:58.55,4,9.81,1:59.33,2,9.57,1:58.62
5,10.64,2:10.52,3,9.68,2:08.50,6,11.28,2:13.65,1,9.51,2:08.06,4,10.16,2:09.49,2,9.57,2:08.19
5,11.26,2:21.772,3,10.23,2:18.721,6,11.73,2:25.372,1,9.59,2:17.644,4,10.64,2:20.123,2,9.66,2:17.843
