KIM Si Un POSITION,KIM Si Un LAP TIME,KIM Si Un ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,TSAI Chia-Wei POSITION,TSAI Chia-Wei LAP TIME,TSAI Chia-Wei ELAPSED TIME,Ivan MOJSILOVIC POSITION,Ivan MOJSILOVIC LAP TIME,Ivan MOJSILOVIC ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME
7,8.94,8.94,2,8.32,8.32,6,8.82,8.82,5,8.70,,3,8.47,8.47,1,8.19,8.19,4,8.67,8.67
7,11.32,20.26,4,11.53,19.85,6,11.28,20.10,5,11.33,,1,10.92,19.39,3,11.65,19.84,2,10.90,19.57
5,10.12,30.38,4,10.38,30.23,6,10.72,30.82,7,10.97,,1,10.37,29.76,3,10.24,30.08,2,10.29,29.86
5,10.24,40.62,4,10.25,40.48,6,10.14,40.96,7,10.31,,1,10.36,40.12,3,10.26,40.34,2,10.36,40.22
5,10.45,51.07,4,10.37,50.85,6,10.24,51.20,7,10.43,,1,10.46,50.58,3,10.49,50.83,2,10.45,50.67
5,10.23,1:01.30,4,10.34,1:01.19,6,10.29,1:01.49,7,10.82,,1,10.21,1:00.79,3,10.20,1:01.03,2,10.24,1:00.91
5,9.96,1:11.26,4,9.93,1:11.12,6,10.20,1:11.69,7,11.22,,1,10.04,1:10.83,2,9.91,1:10.94,3,10.13,1:11.04
5,10.01,1:21.27,4,10.04,1:21.16,6,10.50,1:22.19,7,11.53,,1,10.01,1:20.84,2,9.99,1:20.93,3,10.01,1:21.05
5,10.09,1:31.36,4,10.09,1:31.25,6,10.97,1:33.16,7,12.15,,1,10.06,1:30.90,2,10.10,1:31.03,3,10.11,1:31.16
5,10.06,1:41.42,3,10.09,1:41.34,6,11.30,1:44.46,7,12.55,,1,10.18,1:41.08,2,10.14,1:41.17,4,10.24,1:41.40
2,9.66,1:51.08,1,9.65,1:50.99,6,11.82,1:56.28,7,13.93,,4,10.33,1:51.41,3,10.13,1:51.30,5,10.90,1:52.30
1,9.33,2:00.41,2,9.44,2:00.43,6,12.11,2:08.39,7,12.54,,3,10.44,2:01.85,4,10.60,2:01.90,5,11.46,2:03.76
1,9.45,2:09.86,2,9.58,2:10.01,6,12.70,2:21.09,7,12.40,,3,10.43,2:12.28,4,11.28,2:13.18,5,12.07,2:15.83
1,9.75,2:19.61,2,9.78,2:19.79,6,12.33,2:33.42,7,15.44,2:44.32,3,10.59,2:22.87,4,13.62,2:26.80,5,12.21,2:28.04
