CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
2,10.02,10.02,1,9.82,9.82,4,10.18,10.18,3,10.11,10.11,6,10.29,10.29,5,10.27,10.27,7,10.33,10.33
4,13.40,23.42,3,13.49,23.31,5,13.35,23.53,1,13.05,23.16,2,12.98,23.27,6,13.42,23.69,7,13.55,23.88
5,11.44,34.86,4,11.46,34.77,7,11.44,34.97,3,11.53,34.69,1,11.30,34.57,2,10.98,34.67,6,11.01,34.89
5,10.96,45.82,4,10.91,45.68,6,10.92,45.89,3,10.91,45.60,1,10.81,45.38,2,10.73,45.40,7,11.07,45.96
7,9.92,55.74,3,9.76,55.44,1,9.40,55.29,6,9.95,55.55,2,9.99,55.37,5,10.08,55.48,4,9.51,55.47
7,9.51,1:05.25,2,9.36,1:04.80,4,9.73,1:05.02,6,9.58,1:05.13,3,9.50,1:04.87,5,9.62,1:05.10,1,9.23,1:04.70
3,9.09,1:14.34,4,9.61,1:14.41,7,9.70,1:14.72,6,9.46,1:14.59,1,9.28,1:14.15,5,9.40,1:14.50,2,9.60,1:14.30
1,8.96,1:23.30,4,9.19,1:23.60,7,9.14,1:23.86,6,9.19,1:23.78,2,9.24,1:23.39,5,9.20,1:23.70,3,9.22,1:23.52
1,9.28,1:32.58,4,9.20,1:32.80,7,9.23,1:33.09,6,9.21,1:32.99,2,9.19,1:32.58,5,9.18,1:32.88,3,9.25,1:32.77
2,9.12,1:41.70,4,9.12,1:41.92,7,9.23,1:42.32,6,9.21,1:42.20,1,9.02,1:41.60,5,9.24,1:42.12,3,9.02,1:41.79
2,9.03,1:50.73,6,9.45,1:51.37,7,9.20,1:51.52,5,8.97,1:51.17,1,9.04,1:50.64,4,8.96,1:51.08,3,9.03,1:50.82
2,9.04,1:59.77,7,29.12,2:20.49,6,9.38,2:00.90,5,9.04,2:00.21,1,9.04,1:59.68,4,9.05,2:00.13,3,9.09,1:59.91
2,9.14,2:08.91,7,19.33,2:39.82,6,9.93,2:10.83,4,9.04,2:09.25,1,9.12,2:08.80,5,9.19,2:09.32,3,9.15,2:09.06
2,9.26,2:18.163,0,,notime,5,11.49,2:22.315,3,9.04,2:18.290,1,9.30,2:18.099,4,9.70,2:19.014,0,,PEN
