CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Timur ZAKHAROV POSITION,Timur ZAKHAROV LAP TIME,Timur ZAKHAROV ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,MA Xingguang POSITION,MA Xingguang LAP TIME,MA Xingguang ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
5,11.44,11.44,1,10.67,10.67,2,10.93,10.93,3,11.13,11.13,4,11.26,11.26,6,11.53,11.53,7,11.71,11.71
6,14.18,25.62,2,14.45,25.12,3,14.35,25.28,4,14.26,25.39,5,14.23,25.49,7,14.21,25.74,1,13.37,25.08
6,12.17,37.79,3,12.36,37.48,4,12.28,37.56,2,11.99,37.38,5,12.22,37.71,7,12.16,37.90,1,12.14,37.22
4,11.17,48.96,3,11.45,48.93,6,11.56,49.12,2,11.41,48.79,7,11.55,49.26,5,11.14,49.04,1,11.46,48.68
4,10.31,59.27,6,10.45,59.38,5,10.18,59.30,3,10.32,59.11,7,10.14,59.40,1,9.86,58.90,2,10.28,58.96
5,9.53,1:08.80,7,9.63,1:09.01,1,9.21,1:08.51,5,9.69,1:08.80,3,9.20,1:08.60,4,9.79,1:08.69,2,9.63,1:08.59
5,9.16,1:17.96,7,9.24,1:18.25,2,9.15,1:17.66,6,9.39,1:18.19,1,9.00,1:17.60,4,9.16,1:17.85,3,9.15,1:17.74
5,9.34,1:27.30,7,9.29,1:27.54,1,9.21,1:26.87,6,9.22,1:27.41,2,9.42,1:27.02,4,9.34,1:27.19,3,9.34,1:27.08
5,9.38,1:36.68,6,9.34,1:36.88,1,9.41,1:36.28,7,9.97,1:37.38,3,9.47,1:36.49,4,9.38,1:36.57,2,9.31,1:36.39
5,9.47,1:46.15,6,9.31,1:46.19,1,9.50,1:45.78,7,9.19,1:46.57,3,9.48,1:45.97,4,9.49,1:46.06,2,9.47,1:45.86
5,9.39,1:55.54,6,9.46,1:55.65,1,9.33,1:55.11,7,9.20,1:55.77,3,9.35,1:55.32,4,9.36,1:55.42,2,9.35,1:55.21
5,9.11,2:04.65,6,9.17,2:04.82,1,9.29,2:04.40,7,9.18,2:04.95,2,9.14,2:04.46,3,9.13,2:04.55,3,9.34,2:04.55
4,8.95,2:13.60,6,9.09,2:13.91,2,9.02,2:13.42,7,9.02,2:13.97,1,8.79,2:13.25,3,8.98,2:13.53,5,9.34,2:13.89
3,,2:22.622,5,9.10,2:22.989,4,,2:22.638,7,9.76,2:23.699,1,9.23,2:22.454,2,9.03,2:22.530,6,9.63,2:23.503
