VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
4,13.43,13.43,2,13.07,13.07,3,13.27,13.27,5,13.56,13.56,1,12.77,12.77
5,9.40,22.83,2,9.33,22.40,3,9.29,22.56,4,9.20,22.76,1,9.47,22.24
5,9.29,32.12,2,9.35,31.75,3,9.34,31.90,3,9.14,31.90,1,9.36,31.60
5,9.17,41.29,2,9.19,40.94,4,9.27,41.17,3,9.17,41.07,1,9.21,40.81
5,9.19,50.48,1,8.96,49.90,4,9.09,50.26,3,9.07,50.14,2,9.10,49.91
5,9.17,59.65,1,8.75,58.65,4,8.85,59.11,3,8.72,58.86,2,8.85,58.76
5,9.60,1:09.25,1,8.74,1:07.39,4,8.89,1:08.00,3,8.77,1:07.63,2,8.77,1:07.53
5,10.12,1:19.37,1,8.71,1:16.10,4,9.10,1:17.10,3,8.64,1:16.27,2,8.73,1:16.26
5,10.70,1:30.075,1,8.85,1:24.95,4,9.60,1:26.701,2,8.80,1:25.07,3,8.94,1:25.20
