HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
1,15.26,15.26,3,15.41,15.41,2,15.27,15.27,4,15.61,15.61
2,12.63,27.89,3,12.61,28.02,1,12.50,27.77,4,12.55,28.16
3,11.13,39.02,4,11.19,39.21,2,11.17,38.94,1,10.77,38.93
1,9.51,48.53,4,9.57,48.78,3,9.68,48.62,2,9.63,48.56
2,9.27,57.80,4,9.23,58.01,1,9.03,57.65,3,9.37,57.93
2,9.21,1:07.01,4,9.17,1:07.18,1,9.27,1:06.92,3,9.16,1:07.09
2,9.16,1:16.17,3,9.10,1:16.28,1,9.10,1:16.02,4,9.29,1:16.38
2,8.80,1:24.97,3,8.75,1:25.03,1,8.88,1:24.90,4,8.78,1:25.16
2,8.81,1:33.773,3,8.79,1:33.820,1,8.83,1:33.726,4,8.83,1:33.987
