Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
5,14.07,14.07,3,13.88,13.88,1,13.79,13.79,4,13.94,13.94,2,13.84,13.84
5,10.28,24.35,4,10.34,24.22,2,10.12,23.91,1,9.86,23.80,3,10.25,24.09
5,9.82,34.17,2,9.65,33.87,1,9.88,33.79,3,10.08,33.88,4,9.94,34.03
5,9.85,44.02,2,9.88,43.75,1,9.88,43.67,3,9.92,43.80,4,9.85,43.88
5,9.55,53.57,2,9.69,53.44,1,9.69,53.36,3,9.70,53.50,4,9.65,53.53
3,9.16,1:02.73,4,9.40,1:02.84,1,9.25,1:02.61,2,9.22,1:02.72,5,9.56,1:03.09
1,8.92,1:11.65,4,9.10,1:11.94,2,9.09,1:11.70,3,9.19,1:11.91,5,9.34,1:12.43
1,9.05,1:20.70,4,9.46,1:21.40,2,9.10,1:20.80,3,9.19,1:21.10,5,9.58,1:22.01
1,9.40,1:30.097,4,9.28,1:30.672,2,9.33,1:30.130,3,9.52,1:30.618,5,11.01,1:33.014
