SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
3,9.14,9.14,2,8.92,8.92,1,8.75,8.75,4,9.29,9.29,5,9.32,9.32,6,9.39,9.39
5,12.03,21.17,2,11.78,20.70,4,12.22,20.97,3,11.55,20.84,1,11.31,20.63,6,11.91,21.30
5,10.89,32.06,2,11.07,31.77,4,11.00,31.97,3,11.06,31.90,1,11.06,31.69,6,10.87,32.17
1,10.39,42.45,3,10.78,42.55,6,11.04,43.01,5,10.84,42.74,4,10.94,42.63,2,10.36,42.53
2,10.47,52.92,3,10.46,53.01,6,10.32,53.33,5,10.46,53.20,4,10.47,53.10,1,10.28,52.81
1,10.55,1:03.47,3,10.63,1:03.64,6,10.64,1:03.97,4,10.60,1:03.80,5,10.73,1:03.83,2,10.71,1:03.52
1,10.16,1:13.63,3,10.19,1:13.83,6,10.08,1:14.05,5,10.16,1:13.96,4,10.09,1:13.92,2,10.21,1:13.73
2,9.85,1:23.48,4,9.83,1:23.66,6,10.13,1:24.18,5,9.85,1:23.81,1,9.47,1:23.39,3,9.84,1:23.57
2,9.80,1:33.28,4,9.78,1:33.44,6,10.31,1:34.49,5,9.75,1:33.56,1,9.76,1:33.15,3,9.80,1:33.37
2,9.64,1:42.92,4,9.71,1:43.15,6,10.43,1:44.92,5,9.74,1:43.30,1,9.65,1:42.80,3,9.66,1:43.03
2,9.56,1:52.48,4,9.59,1:52.74,6,10.75,1:55.67,5,9.56,1:52.86,1,9.66,1:52.46,3,9.56,1:52.59
1,9.45,2:01.93,4,9.53,2:02.27,6,10.91,2:06.58,5,9.54,2:02.40,2,9.53,2:01.99,3,9.43,2:02.02
1,9.64,2:11.57,4,9.92,2:12.19,6,11.31,2:17.89,5,9.92,2:12.32,3,9.93,2:11.92,2,9.66,2:11.68
1,9.89,2:21.454,4,10.18,2:22.370,6,11.50,2:29.384,5,10.15,2:22.468,3,9.86,2:21.772,2,9.86,2:21.536
