SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,6.39,6.39,2,6.64,6.64,3,6.76,6.76,4,6.88,6.88
2,9.09,15.48,1,8.83,15.47,3,8.78,15.54,4,8.96,15.85
2,8.51,24.00,3,8.58,24.06,1,8.44,23.99,4,8.33,24.18
2,8.73,32.73,1,8.67,32.73,3,8.74,32.74,4,8.69,32.88
1,9.02,41.741,0,,DQ,3,9.52,42.255,2,9.01,41.887
