Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME
1,14.47,14.47,2,14.84,14.84,4,15.15,15.15,3,14.98,14.98
1,11.42,25.89,2,11.19,26.03,4,11.18,26.33,3,11.18,26.16
1,11.23,37.12,2,11.49,37.52,4,11.52,37.85,3,11.48,37.64
1,10.94,48.06,2,10.68,48.20,4,10.64,48.49,3,10.71,48.35
1,10.30,58.36,2,10.29,58.49,3,10.02,58.51,4,10.32,58.67
2,9.87,1:08.23,3,9.82,1:08.31,1,9.45,1:07.96,4,9.77,1:08.44
3,9.87,1:18.10,2,9.61,1:17.92,1,9.73,1:17.69,4,9.82,1:18.26
3,10.18,1:28.28,1,9.84,1:27.76,2,10.23,1:27.92,4,10.23,1:28.49
3,10.43,1:38.709,1,10.05,1:37.808,2,10.05,1:37.966,4,10.60,1:39.084
