J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,6.89,6.89,3,7.24,7.24,2,7.19,7.19,4,7.41,7.41
1,9.08,15.97,3,9.29,16.53,2,9.12,16.31,4,9.46,16.87
1,8.59,24.56,3,8.88,25.41,2,8.44,24.75,4,31.01,47.88
1,8.60,33.16,3,8.61,34.02,2,8.50,33.25,4,12.09,59.97
2,9.12,42.271,0,,PEN,1,8.89,42.133,3,11.37,1:11.334
