Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
4,9.13,9.13,2,9.00,9.00,6,9.24,9.24,1,8.94,8.94,5,9.15,9.15,3,9.03,9.03
6,12.84,21.97,4,12.69,21.69,1,12.04,21.28,3,12.61,21.55,2,12.22,21.37,5,12.79,21.82
6,11.13,33.10,4,11.20,32.89,1,11.21,32.49,3,11.22,32.77,2,11.26,32.63,5,11.19,33.01
6,11.59,44.69,3,11.47,44.36,1,11.60,44.09,4,11.60,44.37,2,11.57,44.20,5,11.54,44.55
6,10.57,55.26,1,10.47,54.83,2,10.84,54.93,3,10.60,54.97,4,10.80,55.00,5,10.59,55.14
6,10.45,1:05.71,2,10.51,1:05.34,3,10.48,1:05.41,1,10.28,1:05.25,4,10.50,1:05.50,5,10.47,1:05.61
5,10.74,1:16.45,3,11.07,1:16.41,1,10.77,1:16.18,2,11.05,1:16.30,4,10.93,1:16.43,6,10.95,1:16.56
2,10.17,1:26.62,4,10.31,1:26.72,1,10.33,1:26.51,3,10.32,1:26.62,5,10.43,1:26.86,6,10.40,1:26.96
1,10.14,1:36.76,3,10.29,1:37.01,5,10.67,1:37.18,2,10.29,1:36.91,4,10.25,1:37.11,6,10.26,1:37.22
1,10.50,1:47.26,3,10.47,1:47.48,6,10.72,1:47.90,2,10.47,1:47.38,4,10.48,1:47.59,5,10.48,1:47.70
1,10.38,1:57.64,3,10.39,1:57.87,6,10.51,1:58.41,2,10.38,1:57.76,4,10.40,1:57.99,5,10.32,1:58.02
2,10.12,2:07.76,4,10.02,2:07.89,6,10.93,2:09.34,3,10.04,2:07.80,5,10.05,2:08.04,1,9.63,2:07.65
5,10.39,2:18.15,3,9.92,2:17.81,6,11.93,2:21.27,2,9.73,2:17.53,4,9.99,2:18.03,1,9.49,2:17.14
5,11.31,2:29.460,3,9.89,2:27.692,6,12.97,2:34.239,2,10.10,2:27.530,4,10.24,2:28.266,1,10.15,2:27.287
