Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME
1,7.14,7.14,3,7.45,7.45,2,7.27,7.27,4,7.54,7.54,5,7.58,7.58
1,9.24,16.38,3,9.24,16.69,2,9.20,16.47,5,9.46,17.00,4,9.34,16.92
1,8.73,25.11,3,8.76,25.45,2,8.69,25.16,5,8.80,25.80,4,8.78,25.70
2,9.04,34.15,3,8.90,34.35,1,8.90,34.06,5,9.11,34.91,4,9.16,34.86
2,9.19,43.334,3,9.09,43.429,1,9.14,43.197,5,9.58,44.479,4,9.33,44.188
