Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME
2,13.80,13.80,1,13.62,13.62,3,13.96,13.96,4,14.13,14.13
3,11.08,24.88,1,10.92,24.55,2,10.89,24.85,4,10.75,24.88
2,10.37,35.25,1,10.46,35.01,3,10.57,35.42,4,10.62,35.51
2,9.78,45.04,1,9.93,44.94,3,9.78,45.20,4,9.81,45.32
2,9.66,54.71,1,9.69,54.64,3,9.74,54.95,4,9.84,55.16
2,9.79,1:04.51,1,9.85,1:04.49,3,9.83,1:04.78,4,9.83,1:05.00
1,9.97,1:14.48,0,,,2,9.97,1:14.76,3,9.98,1:14.98
2,10.15,1:24.64,1,0.00,1:23.47,3,9.94,1:24.70,4,10.92,1:25.90
1,10.34,1:34.972,3,11.58,1:35.045,2,10.29,1:34.989,4,12.41,1:38.309
