Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Aslan DAUMOV POSITION,Aslan DAUMOV LAP TIME,Aslan DAUMOV ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Shinyu FUJIMOTO POSITION,Shinyu FUJIMOTO LAP TIME,Shinyu FUJIMOTO ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME
1,7.560,7.560,3,7.850,7.850,6,8.390,8.390,2,7.580,7.580,5,8.050,8.050,7,8.530,8.530,4,7.880,7.880,8,8.570,8.570
1,11.290,18.850,3,11.490,19.350,8,11.370,19.770,2,11.530,19.110,4,11.340,19.390,6,11.120,19.650,7,11.770,19.650,5,10.920,19.500
1,10.330,29.190,2,9.960,29.310,8,10.180,29.950,3,10.220,29.330,6,10.390,29.790,4,9.850,29.500,7,10.230,29.880,5,10.120,29.630
1,10.050,39.250,2,10.000,39.320,8,10.260,40.210,5,10.240,39.570,6,10.050,39.850,3,9.900,39.410,7,10.040,39.930,4,9.850,39.480
1,9.670,48.920,2,9.930,49.250,8,9.980,50.190,3,9.780,49.360,6,9.820,49.680,4,9.970,49.380,7,9.780,49.710,5,10.040,49.530
1,10.570,59.490,2,10.340,59.600,8,10.390,1:00.580,4,10.440,59.800,6,10.420,1:00.100,3,10.350,59.730,7,10.500,1:00.220,5,10.320,59.850
1,10.410,1:09.910,2,10.400,1:10.010,8,10.780,1:11.360,4,10.340,1:10.150,7,10.370,1:10.480,3,10.400,1:10.140,6,10.240,1:10.460,5,10.370,1:10.230
2,10.100,1:20.010,3,10.010,1:20.020,8,9.790,1:21.160,1,9.810,1:19.960,7,10.110,1:20.600,5,10.280,1:20.420,6,10.100,1:20.560,4,10.000,1:20.240
1,9.340,1:29.360,2,9.460,1:29.490,8,9.660,1:30.830,5,9.880,1:29.840,6,9.470,1:30.070,3,9.120,1:29.550,7,9.540,1:30.110,4,9.580,1:29.830
1,9.910,1:39.270,2,9.810,1:39.300,8,9.420,1:40.260,3,9.690,1:39.540,6,9.710,1:39.790,5,10.050,1:39.610,7,9.740,1:39.860,4,9.710,1:39.540
1,9.500,1:48.780,2,9.750,1:49.060,8,9.930,1:50.190,5,9.860,1:49.400,7,9.850,1:49.640,3,9.610,1:49.230,6,9.780,1:49.640,4,9.810,1:49.360
1,9.630,1:58.420,2,9.510,1:58.570,8,9.810,2:00.000,3,9.360,1:58.760,6,9.570,1:59.220,4,9.590,1:58.820,7,9.590,1:59.240,5,9.700,1:59.060
1,9.430,2:07.860,2,9.560,2:08.140,8,10.470,2:10.480,4,9.590,2:08.360,7,9.580,2:08.800,5,9.660,2:08.490,6,9.430,2:08.670,3,9.140,2:08.210
1,9.790,2:17.650,5,10.210,2:18.360,4,7.490,2:17.970,3,9.490,2:17.850,8,10.120,2:18.930,6,10.140,2:18.630,7,10.020,2:18.690,2,9.540,2:17.760
