KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Jennifer PICKERING POSITION,Jennifer PICKERING LAP TIME,Jennifer PICKERING ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,IVANDIC Danijela POSITION,IVANDIC Danijela LAP TIME,IVANDIC Danijela ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME
1,9.34,9.34,2,9.50,9.50,3,9.64,9.64,4,9.78,9.78,7,10.07,,5,9.92,9.92,6,9.99,9.99
1,15.38,24.72,2,15.32,24.82,3,15.20,24.84,4,15.22,25.00,7,15.46,,5,15.20,25.12,6,15.36,25.35
3,13.97,38.69,1,13.72,38.54,4,13.98,38.82,2,13.68,38.68,7,13.72,,5,13.85,38.97,6,13.75,39.10
3,12.46,51.15,1,12.47,51.01,4,12.41,51.23,1,12.33,51.01,7,12.27,,5,12.35,51.32,6,12.33,51.43
4,12.95,1:04.10,1,12.76,1:03.77,3,12.74,1:03.97,2,12.86,1:03.87,7,12.90,,5,12.88,1:04.20,6,12.87,1:04.30
5,12.45,1:16.55,1,12.50,1:16.27,3,12.49,1:16.46,2,12.53,1:16.40,7,12.37,,4,12.29,1:16.49,6,12.36,1:16.66
6,10.77,1:27.32,3,10.65,1:26.92,5,10.55,1:27.01,4,10.59,1:26.99,7,10.79,,1,10.23,1:26.72,2,10.14,1:26.80
6,9.80,1:37.12,4,10.02,1:36.94,3,9.91,1:36.92,5,10.06,1:37.05,7,10.08,,1,10.00,1:36.72,2,10.02,1:36.82
2,9.55,1:46.67,5,10.10,1:47.04,4,9.93,1:46.85,6,10.14,1:47.19,7,10.19,,1,9.94,1:46.66,3,9.93,1:46.75
1,9.25,1:55.92,5,9.91,1:56.95,4,9.63,1:56.48,6,9.82,1:57.01,7,10.56,,2,9.57,1:56.23,3,9.59,1:56.34
1,9.44,2:05.36,6,10.20,2:07.15,4,9.43,2:05.91,5,9.76,2:06.77,7,11.50,,2,9.45,2:05.68,3,9.43,2:05.77
1,9.67,2:15.03,6,10.81,2:17.96,4,9.57,2:15.48,5,10.04,2:16.81,7,12.50,,3,9.63,2:15.31,2,9.48,2:15.25
1,9.83,2:24.86,6,11.49,2:29.45,3,9.85,2:25.33,5,10.48,2:27.29,7,13.90,,4,10.10,2:25.41,2,9.71,2:24.96
1,9.91,2:34.77,6,11.97,2:41.394,3,9.84,2:35.153,5,10.89,2:38.163,7,15.07,,4,10.87,2:36.256,2,9.91,2:34.87
