Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
3,13.83,13.83,2,13.72,13.72,4,14.05,14.05,1,13.65,13.65
3,10.89,24.72,2,10.89,24.61,4,10.80,24.85,1,10.87,24.52
3,10.49,35.21,2,10.48,35.09,4,10.49,35.34,1,10.49,35.01
3,9.85,45.06,2,9.85,44.94,4,9.90,45.24,1,9.86,44.87
3,9.38,54.44,2,9.39,54.33,4,9.30,54.54,1,9.39,54.26
3,9.10,1:03.54,2,9.02,1:03.35,4,9.11,1:03.65,1,9.03,1:03.29
4,9.37,1:12.91,2,8.98,1:12.33,3,9.24,1:12.89,1,8.99,1:12.28
4,10.02,1:22.93,2,8.99,1:21.32,3,10.03,1:22.92,1,8.97,1:21.25
3,10.11,1:33.038,1,9.02,1:30.340,0,,PEN,2,9.30,1:30.546
