Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
1,12.72,12.72,3,12.89,12.89,5,13.13,13.13,2,12.81,12.81,4,13.02,13.02
1,10.17,22.89,5,10.37,23.26,3,9.94,23.07,2,10.16,22.97,4,10.12,23.14
1,9.85,32.74,5,9.76,33.02,4,9.86,32.93,2,9.88,32.85,3,9.72,32.86
2,9.46,42.20,5,9.60,42.62,4,9.59,42.52,3,9.49,42.34,1,9.14,42.00
2,8.99,51.19,5,9.22,51.84,4,8.93,51.45,3,8.96,51.30,1,9.05,51.05
2,9.21,1:00.40,5,9.70,1:01.54,4,9.21,1:00.66,3,9.25,1:00.55,1,9.25,1:00.30
2,9.16,1:09.56,5,10.02,1:11.56,4,9.15,1:09.81,3,9.16,1:09.71,1,9.16,1:09.46
2,9.25,1:18.81,5,11.09,1:22.65,3,9.29,1:19.10,4,9.39,1:19.10,1,9.25,1:18.71
3,9.50,1:28.301,5,12.52,1:35.161,2,9.14,1:28.239,4,10.27,1:29.361,1,9.49,1:28.197
