LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME
2,13.21,13.21,3,13.31,13.31,1,13.08,13.08,4,13.44,13.44,5,13.55,13.55
2,10.50,23.71,3,10.43,23.74,1,10.56,23.64,4,10.50,23.94,5,10.42,23.97
2,10.10,33.81,3,10.17,33.91,1,10.14,33.78,4,10.05,33.99,5,10.19,34.16
1,9.85,43.66,3,9.90,43.81,2,9.92,43.70,4,9.95,43.94,5,9.93,44.09
1,9.41,53.07,2,9.33,53.14,3,9.46,53.16,4,9.36,53.30,5,9.37,53.46
1,9.41,1:02.48,2,9.44,1:02.58,4,9.65,1:02.81,3,9.38,1:02.68,5,9.43,1:02.89
1,9.21,1:11.69,3,9.24,1:11.82,4,9.09,1:11.90,2,9.12,1:11.80,5,9.24,1:12.13
1,8.94,1:20.63,4,9.30,1:21.12,3,9.01,1:20.91,2,8.92,1:20.72,5,9.19,1:21.32
1,8.91,1:29.532,0,,PEN,3,8.75,1:29.659,2,8.88,1:29.596,4,9.27,1:30.581
