Tomasz WROBLEWSKI POSITION,Tomasz WROBLEWSKI LAP TIME,Tomasz WROBLEWSKI ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME
2,6.836,6.836,4,7.276,7.276,3,6.927,6.927,1,6.647,6.647
2,9.151,15.986,4,9.717,16.993,3,9.209,16.135,1,9.056,15.703
3,8.871,24.857,4,9.277,26.270,2,8.671,24.806,1,8.696,24.399
3,9.112,33.969,4,9.291,35.562,2,8.636,33.442,1,8.822,33.220
3,9.342,43.310,4,9.845,45.406,2,9.148,42.590,1,9.129,42.349
