Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
2,13.13,13.13,1,13.00,13.00,3,13.33,13.33,4,13.43,13.43
2,10.36,23.49,1,10.34,23.34,3,10.25,23.58,4,10.24,23.67
2,10.22,33.71,1,10.23,33.57,3,10.18,33.76,4,10.27,33.94
2,10.09,43.80,1,10.12,43.69,3,10.12,43.88,4,10.13,44.07
2,10.12,53.92,1,10.15,53.84,4,10.30,54.18,3,9.96,54.03
3,9.82,1:03.74,2,9.70,1:03.54,4,9.78,1:03.96,1,9.36,1:03.39
4,9.71,1:13.45,2,9.27,1:12.81,3,9.42,1:13.38,1,9.39,1:12.78
3,9.73,1:23.18,2,9.34,1:22.15,4,10.00,1:23.38,1,9.37,1:22.15
3,10.12,1:33.298,1,9.49,1:31.633,4,10.14,1:33.512,2,9.63,1:31.774
