CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,Salvijus RAMANAUSKAS POSITION,Salvijus RAMANAUSKAS LAP TIME,Salvijus RAMANAUSKAS ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
6,13.06,13.06,4,12.70,12.70,3,12.54,12.54,5,12.82,12.82,7,13.09,13.09,1,12.21,12.21,2,12.48,12.48
6,18.71,31.77,4,18.62,31.32,3,18.51,31.05,5,18.68,31.50,7,18.88,31.97,1,18.58,30.79,2,18.43,30.91
6,16.80,48.57,4,16.94,48.26,3,16.95,48.00,5,16.85,48.35,7,16.74,48.71,1,16.91,47.70,2,16.94,47.85
7,14.02,1:02.59,2,14.06,1:02.32,4,14.52,1:02.52,4,14.17,1:02.52,6,13.86,1:02.57,1,14.45,1:02.15,3,14.59,1:02.44
1,10.83,1:13.42,3,11.19,1:13.51,7,11.34,1:13.86,6,11.23,1:13.75,2,10.92,1:13.49,4,11.45,1:13.60,5,11.17,1:13.61
2,10.46,1:23.88,1,10.30,1:23.81,7,10.43,1:24.29,6,10.42,1:24.17,4,10.55,1:24.04,5,10.51,1:24.11,3,10.35,1:23.96
2,11.00,1:34.88,1,10.98,1:34.79,7,10.99,1:35.28,6,10.95,1:35.12,4,10.86,1:34.90,5,10.87,1:34.98,3,10.93,1:34.89
4,9.73,1:44.61,1,9.64,1:44.43,6,9.51,1:44.79,5,9.59,1:44.71,2,9.58,1:44.48,2,9.50,1:44.48,7,22.27,1:57.16
4,9.36,1:53.97,2,9.36,1:53.79,6,9.42,1:54.21,5,9.34,1:54.05,3,9.41,1:53.89,1,9.22,1:53.70,7,11.63,2:08.79
4,9.41,2:03.38,2,9.37,2:03.16,6,9.46,2:03.67,5,9.44,2:03.49,3,9.38,2:03.27,1,9.38,2:03.08,7,10.46,2:19.25
4,9.36,2:12.74,2,9.31,2:12.47,6,9.64,2:13.31,5,9.44,2:12.93,3,9.30,2:12.57,1,9.30,2:12.38,7,10.97,2:30.22
4,9.01,2:21.75,1,8.87,2:21.34,6,10.06,2:23.37,5,9.58,2:22.51,3,8.93,2:21.50,2,9.11,2:21.49,7,10.27,2:40.49
4,8.88,2:30.63,1,8.93,2:30.27,6,10.53,2:33.90,5,9.93,2:32.44,2,8.94,2:30.44,3,9.07,2:30.56,7,10.18,2:50.67
4,9.56,2:40.175,1,9.13,2:39.386,6,11.13,2:45.019,5,10.86,2:43.283,2,9.01,2:39.434,3,9.43,2:39.976,7,10.19,3:00.843
