LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME
3,15.838,15.838,2,15.771,15.771,1,15.486,15.486
3,11.856,27.694,2,11.804,27.574,1,11.746,27.231
3,10.931,38.624,2,11.001,38.574,1,11.037,38.268
2,10.333,48.957,3,10.414,48.988,1,10.298,48.566
3,10.005,58.961,2,9.768,58.755,1,10.055,58.621
3,9.584,1:08.545,2,9.616,1:08.371,1,9.522,1:08.143
3,9.279,1:17.824,2,9.256,1:17.626,1,9.287,1:17.429
2,8.958,1:26.781,3,9.170,1:26.796,1,9.206,1:26.634
1,8.86,1:35.634,3,9.28,1:36.070,2,9.36,1:35.989
