Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
3,6.91,6.91,2,6.83,6.83,4,7.03,7.03,1,6.81,6.81
4,9.39,16.30,3,9.28,16.11,2,9.03,16.06,1,9.09,15.90
4,8.79,25.09,2,8.77,24.88,3,8.85,24.91,1,8.86,24.76
4,8.76,33.85,2,8.81,33.69,3,8.92,33.83,1,8.90,33.66
1,8.76,42.606,3,9.13,42.816,2,8.93,42.751,4,9.33,42.988
