Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Ivanie BLONDIN POSITION,Ivanie BLONDIN LAP TIME,Ivanie BLONDIN ELAPSED TIME,Anouk ZOUTENDIJK POSITION,Anouk ZOUTENDIJK LAP TIME,Anouk ZOUTENDIJK ELAPSED TIME
0,8.587,8.587,0,8.809,8.809,0,8.858,8.858,0,8.699,8.699
0,12.041,20.628,0,11.945,20.754,0,23.828,32.686,0,12.031,20.730
0,11.479,32.106,0,11.556,32.310,0,,,0,11.470,32.200
0,11.198,43.304,0,11.262,43.573,0,,44.924,0,11.328,43.528
0,11.290,54.594,0,11.210,54.782,0,9.934,54.858,0,11.309,54.837
0,11.070,1:05.664,0,11.134,1:05.917,0,11.031,1:05.889,0,11.034,1:05.871
0,11.114,1:16.778,0,10.999,1:16.916,0,10.970,1:16.859,0,11.045,1:16.916
0,10.958,1:27.736,0,10.931,1:27.847,0,10.795,1:27.654,0,10.919,1:27.835
0,10.565,1:38.301,0,10.465,1:38.312,0,10.712,1:38.366,0,10.672,1:38.508
0,10.231,1:48.532,0,10.123,1:48.435,0,10.461,1:48.827,0,10.228,1:48.735
0,10.122,1:58.654,0,9.942,1:58.377,0,9.615,1:58.442,0,10.205,1:58.940
0,10.020,2:08.674,0,10.106,2:08.482,0,10.257,2:08.699,0,10.529,2:09.469
0,10.010,2:18.684,0,10.024,2:18.506,0,9.729,2:18.428,0,11.083,2:20.552
0,10.492,2:29.176,0,,,0,10.558,2:28.985,0,11.940,2:32.491
