Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,KO Gi-Hyun POSITION,KO Gi-Hyun LAP TIME,KO Gi-Hyun ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Ekaterina STUKANOV POSITION,Ekaterina STUKANOV LAP TIME,Ekaterina STUKANOV ELAPSED TIME
3,8.987,8.987,5,9.382,9.382,2,8.622,8.622,4,9.212,9.212,1,8.526,8.526
4,10.948,19.935,5,10.739,20.121,2,10.999,19.620,3,10.598,19.809,1,10.950,19.475
4,10.838,30.772,5,10.750,30.871,2,10.775,30.395,3,10.870,30.679,1,10.799,30.274
4,10.867,41.638,5,10.862,41.732,2,10.867,41.262,3,10.745,41.424,1,10.888,41.162
4,10.906,52.544,5,10.927,52.659,1,10.868,52.129,3,10.952,52.375,2,10.979,52.141
4,11.198,1:03.741,5,11.205,1:03.863,2,11.203,1:03.332,3,11.298,1:03.673,1,10.893,1:03.033
4,11.097,1:14.837,5,11.179,1:15.042,2,11.263,1:14.594,3,11.093,1:14.765,1,11.523,1:14.555
5,11.309,1:26.146,3,10.953,1:25.994,2,11.183,1:25.777,4,11.253,1:26.018,1,11.122,1:25.677
5,11.055,1:37.201,2,10.919,1:36.913,1,10.839,1:36.615,4,10.958,1:36.975,3,11.280,1:36.957
5,10.973,1:48.174,1,10.434,1:47.347,2,10.764,1:47.379,3,10.445,1:47.419,4,11.011,1:47.968
5,10.827,1:59.000,1,10.248,1:57.594,3,10.430,1:57.808,2,10.363,1:57.782,4,10.999,1:58.966
5,11.368,2:10.368,1,10.542,2:08.136,3,10.685,2:08.493,2,10.451,2:08.232,4,11.106,2:10.072
5,11.389,2:21.756,1,10.690,2:18.825,3,11.120,2:19.612,2,10.702,2:18.934,4,11.546,2:21.617
5,11.58,2:33.332,1,10.74,2:29.562,3,12.14,2:31.751,2,10.74,2:29.672,4,11.62,2:33.235
