EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,Shaner LEBAUER POSITION,Shaner LEBAUER LAP TIME,Shaner LEBAUER ELAPSED TIME
1,7.08,7.08,2,7.28,7.28,3,7.50,7.50,4,7.57,7.57
1,9.20,16.28,2,9.15,16.43,3,9.32,16.82,4,9.64,17.21
1,8.85,25.13,2,8.78,25.21,3,9.00,25.82,4,9.05,26.26
1,9.04,34.17,2,9.04,34.25,3,9.18,35.00,4,9.54,35.80
2,9.37,43.540,1,9.09,43.332,3,9.60,44.594,4,9.98,45.778
