Selina MUXEL POSITION,Selina MUXEL LAP TIME,Selina MUXEL ELAPSED TIME,Maria GARCIA POSITION,Maria GARCIA LAP TIME,Maria GARCIA ELAPSED TIME,Olga LOPATKINA POSITION,Olga LOPATKINA LAP TIME,Olga LOPATKINA ELAPSED TIME,Vera KATSOV POSITION,Vera KATSOV LAP TIME,Vera KATSOV ELAPSED TIME
3,16.554,16.554,4,16.573,16.573,1,16.154,16.154,2,16.446,16.446
3,11.307,27.861,4,11.292,27.864,1,10.977,27.131,2,10.984,27.430
4,10.608,38.468,3,10.492,38.356,1,10.717,37.847,2,10.686,38.116
4,10.788,49.255,3,10.789,49.144,1,10.965,48.812,2,10.881,48.996
4,11.066,1:00.321,3,10.996,1:00.139,1,11.120,59.932,2,11.060,1:00.055
2,10.867,1:11.187,4,11.387,1:11.526,1,11.244,1:11.175,3,11.394,1:11.449
1,10.598,1:21.785,2,10.451,1:21.977,3,11.587,1:22.762,4,11.720,1:23.168
2,11.085,1:32.869,1,10.882,1:32.858,3,11.737,1:34.499,4,12.318,1:35.486
2,11.27,1:44.130,1,11.24,1:44.095,3,11.79,1:46.288,4,12.65,1:48.132
