Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME,YANG Fei POSITION,YANG Fei LAP TIME,YANG Fei ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME
3,14.02,14.02,1,13.87,13.87,4,14.17,14.17,2,13.91,13.91
3,11.31,25.33,2,11.45,25.32,4,11.43,25.60,1,11.32,25.23
1,10.68,36.01,2,10.80,36.12,4,10.72,36.32,3,10.98,36.21
2,11.09,47.10,1,10.92,47.04,3,10.94,47.26,4,11.16,47.37
2,10.25,57.35,1,10.13,57.17,4,10.18,57.44,3,10.07,57.44
3,9.54,1:06.89,1,9.39,1:06.56,4,9.69,1:07.13,2,9.36,1:06.80
3,9.42,1:16.31,1,9.20,1:15.76,4,9.41,1:16.54,2,9.38,1:16.18
3,9.53,1:25.84,1,9.38,1:25.14,4,9.48,1:26.02,2,9.56,1:25.74
3,9.89,1:35.723,1,9.82,1:34.956,4,9.77,1:35.790,2,9.85,1:35.587
